x_value,yhat,species,phenology,variable
148,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
156.78787878787878,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
165.57575757575756,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
174.36363636363637,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
183.15151515151516,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
191.93939393939394,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
200.72727272727272,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
209.5151515151515,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
218.3030303030303,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
227.09090909090907,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
235.87878787878788,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
244.66666666666666,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
253.45454545454544,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
262.24242424242425,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
271.030303030303,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
279.8181818181818,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
288.6060606060606,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
297.3939393939394,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
306.18181818181813,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
314.969696969697,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
323.75757575757575,103.06002044677734,American Elm,Greenup_doy,late_winter_prcp
332.5454545454545,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
341.3333333333333,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
350.1212121212121,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
358.9090909090909,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
367.6969696969697,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
376.4848484848485,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
385.27272727272725,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
394.060606060606,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
402.8484848484848,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
411.6363636363636,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
420.4242424242424,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
429.2121212121212,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
438,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
446.78787878787875,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
455.57575757575756,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
464.3636363636363,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
473.1515151515151,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
481.93939393939394,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
490.7272727272727,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
499.5151515151515,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
508.30303030303025,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
517.090909090909,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
525.8787878787879,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
534.6666666666666,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
543.4545454545455,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
552.2424242424242,100.24974060058594,American Elm,Greenup_doy,late_winter_prcp
561.030303030303,98.461517333984375,American Elm,Greenup_doy,late_winter_prcp
569.8181818181818,98.461517333984375,American Elm,Greenup_doy,late_winter_prcp
578.6060606060605,98.461517333984375,American Elm,Greenup_doy,late_winter_prcp
587.3939393939394,98.461517333984375,American Elm,Greenup_doy,late_winter_prcp
596.1818181818181,98.461517333984375,American Elm,Greenup_doy,late_winter_prcp
604.969696969697,98.461517333984375,American Elm,Greenup_doy,late_winter_prcp
613.7575757575758,98.461517333984375,American Elm,Greenup_doy,late_winter_prcp
622.5454545454545,93.35469055175781,American Elm,Greenup_doy,late_winter_prcp
631.3333333333333,93.35469055175781,American Elm,Greenup_doy,late_winter_prcp
640.121212121212,93.35469055175781,American Elm,Greenup_doy,late_winter_prcp
648.9090909090909,93.35469055175781,American Elm,Greenup_doy,late_winter_prcp
657.6969696969696,93.35469055175781,American Elm,Greenup_doy,late_winter_prcp
666.4848484848485,93.35469055175781,American Elm,Greenup_doy,late_winter_prcp
675.2727272727273,93.35469055175781,American Elm,Greenup_doy,late_winter_prcp
684.060606060606,93.35469055175781,American Elm,Greenup_doy,late_winter_prcp
692.8484848484848,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
701.6363636363636,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
710.4242424242424,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
719.2121212121211,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
728,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
736.7878787878788,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
745.5757575757575,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
754.3636363636363,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
763.1515151515151,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
771.9393939393939,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
780.7272727272726,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
789.5151515151515,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
798.3030303030303,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
807.090909090909,92.35582733154297,American Elm,Greenup_doy,late_winter_prcp
815.8787878787879,95.11910247802734,American Elm,Greenup_doy,late_winter_prcp
824.6666666666666,95.11910247802734,American Elm,Greenup_doy,late_winter_prcp
833.4545454545454,95.11910247802734,American Elm,Greenup_doy,late_winter_prcp
842.2424242424241,95.11910247802734,American Elm,Greenup_doy,late_winter_prcp
851.030303030303,95.11910247802734,American Elm,Greenup_doy,late_winter_prcp
859.8181818181818,95.11910247802734,American Elm,Greenup_doy,late_winter_prcp
868.6060606060605,95.11910247802734,American Elm,Greenup_doy,late_winter_prcp
877.3939393939394,95.11910247802734,American Elm,Greenup_doy,late_winter_prcp
886.1818181818181,95.13043975830078,American Elm,Greenup_doy,late_winter_prcp
894.9696969696969,95.13043975830078,American Elm,Greenup_doy,late_winter_prcp
903.7575757575758,95.13043975830078,American Elm,Greenup_doy,late_winter_prcp
912.5454545454545,95.13043975830078,American Elm,Greenup_doy,late_winter_prcp
921.3333333333333,95.13043975830078,American Elm,Greenup_doy,late_winter_prcp
930.121212121212,95.13043975830078,American Elm,Greenup_doy,late_winter_prcp
938.9090909090909,95.13043975830078,American Elm,Greenup_doy,late_winter_prcp
947.6969696969696,95.45548248291016,American Elm,Greenup_doy,late_winter_prcp
956.4848484848484,95.45548248291016,American Elm,Greenup_doy,late_winter_prcp
965.2727272727273,95.45548248291016,American Elm,Greenup_doy,late_winter_prcp
974.060606060606,95.45548248291016,American Elm,Greenup_doy,late_winter_prcp
982.8484848484848,95.45548248291016,American Elm,Greenup_doy,late_winter_prcp
991.6363636363635,95.45548248291016,American Elm,Greenup_doy,late_winter_prcp
1000.4242424242424,95.45548248291016,American Elm,Greenup_doy,late_winter_prcp
1009.2121212121211,95.45548248291016,American Elm,Greenup_doy,late_winter_prcp
1018,95.45548248291016,American Elm,Greenup_doy,late_winter_prcp
148,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
156.78787878787878,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
165.57575757575756,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
174.36363636363637,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
183.15151515151516,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
191.93939393939394,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
200.72727272727272,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
209.5151515151515,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
218.3030303030303,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
227.09090909090907,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
235.87878787878788,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
244.66666666666666,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
253.45454545454544,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
262.24242424242425,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
271.030303030303,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
279.8181818181818,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
288.6060606060606,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
297.3939393939394,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
306.18181818181813,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
314.969696969697,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
323.75757575757575,101.89212036132812,American Linden,Greenup_doy,late_winter_prcp
332.5454545454545,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
341.3333333333333,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
350.1212121212121,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
358.9090909090909,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
367.6969696969697,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
376.4848484848485,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
385.27272727272725,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
394.060606060606,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
402.8484848484848,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
411.6363636363636,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
420.4242424242424,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
429.2121212121212,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
438,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
446.78787878787875,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
455.57575757575756,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
464.3636363636363,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
473.1515151515151,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
481.93939393939394,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
490.7272727272727,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
499.5151515151515,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
508.30303030303025,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
517.090909090909,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
525.8787878787879,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
534.6666666666666,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
543.4545454545455,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
552.2424242424242,97.73665618896484,American Linden,Greenup_doy,late_winter_prcp
561.030303030303,94.49959564208984,American Linden,Greenup_doy,late_winter_prcp
569.8181818181818,94.49959564208984,American Linden,Greenup_doy,late_winter_prcp
578.6060606060605,94.49959564208984,American Linden,Greenup_doy,late_winter_prcp
587.3939393939394,94.49959564208984,American Linden,Greenup_doy,late_winter_prcp
596.1818181818181,94.49959564208984,American Linden,Greenup_doy,late_winter_prcp
604.969696969697,94.49959564208984,American Linden,Greenup_doy,late_winter_prcp
613.7575757575758,94.49959564208984,American Linden,Greenup_doy,late_winter_prcp
622.5454545454545,92.95960998535156,American Linden,Greenup_doy,late_winter_prcp
631.3333333333333,92.95960998535156,American Linden,Greenup_doy,late_winter_prcp
640.121212121212,92.95960998535156,American Linden,Greenup_doy,late_winter_prcp
648.9090909090909,92.95960998535156,American Linden,Greenup_doy,late_winter_prcp
657.6969696969696,92.95960998535156,American Linden,Greenup_doy,late_winter_prcp
666.4848484848485,92.95960998535156,American Linden,Greenup_doy,late_winter_prcp
675.2727272727273,92.95960998535156,American Linden,Greenup_doy,late_winter_prcp
684.060606060606,92.95960998535156,American Linden,Greenup_doy,late_winter_prcp
692.8484848484848,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
701.6363636363636,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
710.4242424242424,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
719.2121212121211,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
728,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
736.7878787878788,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
745.5757575757575,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
754.3636363636363,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
763.1515151515151,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
771.9393939393939,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
780.7272727272726,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
789.5151515151515,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
798.3030303030303,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
807.090909090909,92.75479888916016,American Linden,Greenup_doy,late_winter_prcp
815.8787878787879,95.017608642578125,American Linden,Greenup_doy,late_winter_prcp
824.6666666666666,95.017608642578125,American Linden,Greenup_doy,late_winter_prcp
833.4545454545454,95.017608642578125,American Linden,Greenup_doy,late_winter_prcp
842.2424242424241,95.017608642578125,American Linden,Greenup_doy,late_winter_prcp
851.030303030303,95.017608642578125,American Linden,Greenup_doy,late_winter_prcp
859.8181818181818,95.017608642578125,American Linden,Greenup_doy,late_winter_prcp
868.6060606060605,95.017608642578125,American Linden,Greenup_doy,late_winter_prcp
877.3939393939394,95.017608642578125,American Linden,Greenup_doy,late_winter_prcp
886.1818181818181,95.09690856933594,American Linden,Greenup_doy,late_winter_prcp
894.9696969696969,95.09690856933594,American Linden,Greenup_doy,late_winter_prcp
