phenology,species,Total_Obs,Mean_R2,Mean_RMSE,Mean_MAE
Greenup_doy,American Elm,1,0.6582056111498866,8.420705718667701,6.513684410389847
Greenup_doy,American Linden,1,0.7002741450667812,8.703143153875294,6.723900903816149
Greenup_doy,Common Hackberry,1,0.5714866797113102,8.481093868262596,6.578856088462663
Greenup_doy,Eastern Cottonwood,1,0.6283099985569456,7.31823951238593,5.495680538753742
Greenup_doy,Green Ash,1,0.6792533541674587,8.13027312368698,6.099363705145671
Greenup_doy,Honey Locust,1,0.6316162569675134,8.785423012453169,6.687310556021844
Greenup_doy,Northern Red Oak,1,0.5561210572630215,9.041996864349798,6.852192188131399
Greenup_doy,Plains Cottonwood,1,0.7609736478265948,6.83850641544417,5.146200914896244
Greenup_doy,Siberian Elm,1,0.6419933813621048,7.859812746798179,6.0257732620239235
Greenup_doy,Silver Maple,1,0.6482560033624036,7.075102185407909,5.36779285638222
Greenup_doy,Tree of heaven,1,0.6908372445963783,8.36484576949937,6.355946686947366
Greenup_doy,Western Catalpa,1,0.5582861561362451,10.479851953491723,8.004128396348667
Maturity_doy,American Elm,1,0.6010717950058143,6.717711585019911,5.093381046837976
Maturity_doy,American Linden,1,0.6112504820640586,7.431729532689315,5.244284579628394
Maturity_doy,Common Hackberry,1,0.7192354635632008,6.622491343616897,4.896918393033976
Maturity_doy,Eastern Cottonwood,1,0.6212262262836236,5.903186170969928,4.215643831217152
Maturity_doy,Green Ash,1,0.7001821847243389,6.694053780041434,4.967830618997356
Maturity_doy,Honey Locust,1,0.6879728556369916,7.384639694214536,5.465263077237101
Maturity_doy,Northern Red Oak,1,0.591176066300941,7.175997948711061,5.122282732344869
Maturity_doy,Plains Cottonwood,1,0.5626475248948808,6.654916965041173,4.754299324273737
Maturity_doy,Siberian Elm,1,0.6071540192617587,7.745323292470483,5.849493324209792
Maturity_doy,Silver Maple,1,0.6040700005235825,6.458828123574509,4.76742560296571
Maturity_doy,Tree of heaven,1,0.7209708840310809,6.5390253554463795,4.656834735901785
Maturity_doy,Western Catalpa,1,0.6957971761460437,8.06709871043139,6.379094590532018
Senescence_doy,American Elm,1,0.6798137107622182,8.070077407397134,6.308354733880596
Senescence_doy,American Linden,1,0.6365749254800738,8.539599813841225,6.708869963653328
Senescence_doy,Common Hackberry,1,0.6852735137010579,10.108676083652224,7.421530632557215
Senescence_doy,Eastern Cottonwood,1,0.7369161638002144,9.207067394095048,6.818263415429203
Senescence_doy,Green Ash,1,0.6611862062989191,8.681010559386722,6.649377223973316
Senescence_doy,Honey Locust,1,0.7049681480353803,8.386667437363275,6.577751149007427
Senescence_doy,Northern Red Oak,1,0.607158925193578,8.998105599734886,6.8818998632101
Senescence_doy,Plains Cottonwood,1,0.7765756560379632,9.196695172579004,7.308418874459917
Senescence_doy,Siberian Elm,1,0.6723410891766022,10.846132815196812,8.391031760869065
Senescence_doy,Silver Maple,1,0.7119191610604622,8.896308608301052,6.864056653620382
Senescence_doy,Tree of heaven,1,0.695597571619713,9.449253269503865,7.175602569311912
Senescence_doy,Western Catalpa,1,0.7197326036463779,8.968908503221122,7.064948668454422
Dormancy_doy,American Elm,1,0.6284837698020891,11.99417027781473,9.138457861902278
Dormancy_doy,American Linden,1,0.6490204867090575,11.603369769438167,9.24452155828476
Dormancy_doy,Common Hackberry,1,0.6060166569963549,10.996274307344754,8.555310445107263
Dormancy_doy,Eastern Cottonwood,1,0.5132801505706756,11.89626875383923,8.468867602430274
Dormancy_doy,Green Ash,1,0.6326470103197196,12.899078189326021,9.959087781669686
Dormancy_doy,Honey Locust,1,0.5912494555110397,11.316808860098552,8.694160572100197
Dormancy_doy,Northern Red Oak,1,0.5333846112395453,11.465468360944756,8.797143509973102
Dormancy_doy,Plains Cottonwood,1,0.6210983528678516,11.72890642658608,8.92718839745073
Dormancy_doy,Siberian Elm,1,0.5865324274263342,11.405433524799713,8.42534684037064
Dormancy_doy,Silver Maple,1,0.5232494955457122,11.647185484918555,8.9022354089806
Dormancy_doy,Tree of heaven,1,0.6119219005524289,11.189091106026963,8.73104010985899
Dormancy_doy,Western Catalpa,1,0.5804026595641256,11.594482094665485,8.624325586068405
