species,phenology,tree_mean_pheno,late_winter_prcp,impervious_90m,late_winter_temp,late_winter_prcp_days,irrigated_90m,UID_numeric,tree_canopy_90m,late_winter_mean_tmax,tree_n_obs,unirrigated_90m,water_90m,early_fall_mean_tmax,late_summer_mean_tmax,late_summer_prcp,early_fall_temp,late_summer_temp,late_summer_prcp_days,fall_prcp_days,fall_mean_tmax,fall_cumulative_prcp,late_fall_temp,late_spring_prcp_days,late_spring_temp,spring_prcp,late_spring_mean_tmax
Tree of heaven,Dormancy_doy,0.464,NA,0.026,NA,NA,0.043,0.026,0.02,NA,0.005,0.006,0.002,NA,NA,NA,NA,NA,NA,0.137,0.162,0.052,0.057,NA,NA,NA,NA
Western Catalpa,Dormancy_doy,0.413,NA,0.045,NA,NA,0.05,0.03,0.044,NA,0.011,NA,NA,NA,NA,NA,NA,NA,NA,0.115,0.153,0.089,0.049,NA,NA,NA,NA
American Elm,Maturity_doy,0.52,NA,0.03,NA,NA,0.03,0.016,0.025,NA,0.003,0.002,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.212,0.072,0.066,0.02
American Linden,Maturity_doy,0.422,NA,0.048,NA,NA,0.043,0.025,0.037,NA,0.006,0.006,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176,0.085,0.127,0.021
Common Hackberry,Maturity_doy,0.185,NA,0.022,NA,NA,0.016,0.021,0.027,NA,0.001,0.003,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41,0.229,0.018,0.066
Eastern Cottonwood,Maturity_doy,0.291,NA,0.053,NA,NA,0.018,0.01,0.023,NA,0.003,0.024,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.451,0.052,0.05,0.02
Green Ash,Maturity_doy,0.233,NA,0.021,NA,NA,0.015,0.01,0.017,NA,0.003,0.001,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.356,0.185,0.11,0.048
Honey Locust,Maturity_doy,0.319,NA,0.02,NA,NA,0.024,0.009,0.017,NA,0.003,0.004,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201,0.243,0.032,0.125
Northern Red Oak,Maturity_doy,0.331,NA,0.039,NA,NA,0.034,0.037,0.086,NA,0.003,0.001,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154,0.2,0.057,0.052
Plains Cottonwood,Maturity_doy,0.396,NA,0.033,NA,NA,0.034,0.016,0.037,NA,0.002,0.033,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.302,0.068,0.041,0.017
Siberian Elm,Maturity_doy,0.47,NA,0.022,NA,NA,0.03,0.016,0.033,NA,0.006,0.002,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.056,0.247,0.03,0.086
Silver Maple,Maturity_doy,0.404,NA,0.018,NA,NA,0.015,0.007,0.014,NA,0.002,0.001,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268,0.128,0.117,0.026
Tree of heaven,Maturity_doy,0.21,NA,0.026,NA,NA,0.033,0.029,0.032,NA,0.004,0.001,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323,0.226,0.015,0.1
Western Catalpa,Maturity_doy,0.263,NA,0.037,NA,NA,0.043,0.027,0.026,NA,0.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.112,0.346,0.03,0.102
