,date,time,pss4_instrument
914,6/25/2023,171849,225a
915,6/27/2023,165334,24a7
916,6/28/2023,172747,248b
917,6/29/2023,172959,2480
918,7/1/2023,165436,24b4
919,7/2/2023,173303,2484
920,7/3/2023,173144,247c
921,7/24/2023,173306,2481
922,7/26/2023,165547,2432
923,7/27/2023,165434,24c7
924,7/27/2023,173248,2484
925,7/28/2023,165353,24cf
926,7/30/2023,173042,248b
927,7/30/2023,173126,247d
928,8/3/2023,165701,2465
929,8/4/2023,165334,24c3
930,8/5/2023,165427,2432
931,8/8/2023,173307,2416
932,8/9/2023,173431,248c
933,8/10/2023,165704,242d
934,8/10/2023,173302,2484
935,8/11/2023,165501,24b9
936,8/14/2023,173117,2473
937,8/15/2023,173409,247b
938,8/17/2023,173110,2484
939,8/18/2023,165449,24c7
940,8/19/2023,175321,2402
941,8/20/2023,165848,24c3
942,8/21/2023,173503,2479
943,8/23/2023,165445,24c4
944,8/24/2023,165450,24af
945,8/27/2023,173305,2486
946,8/29/2023,165550,24a7
947,8/30/2023,173527,248b
948,9/4/2023,165147,2451
949,9/4/2023,173624,2498
950,9/5/2023,173554,2470
951,9/8/2023,173347,24a4
952,9/9/2023,165534,24af
953,9/12/2023,165140,2455
954,9/13/2023,164929,2459
955,9/16/2023,165433,2459
956,9/16/2023,173235,248e
957,9/17/2023,173545,247f
958,9/18/2023,173452,2438
959,9/20/2023,173358,249c
960,9/21/2023,173633,2498
961,9/22/2023,173510,2424
962,9/23/2023,165708,2464
963,9/24/2023,165029,2423
964,9/25/2023,165628,24cf
965,9/26/2023,170004,24c3
966,9/27/2023,165302,2423
967,9/27/2023,165621,242d
968,9/28/2023,165939,2458
969,9/29/2023,173826,2490
970,10/1/2023,173528,247b
971,10/4/2023,165454,24c4
972,10/5/2023,173559,2475
973,10/7/2023,170012,24c2
974,10/8/2023,165753,24ab
975,10/10/2023,165516,24a1
976,10/13/2023,173912,2479
977,10/14/2023,165732,24c4
978,10/15/2023,165618,24a8
979,10/16/2023,170058,2415
980,10/17/2023,165801,24c0
981,10/17/2023,173824,247b
982,10/19/2023,165749,24c4
983,10/19/2023,173724,2482
984,10/20/2023,165931,24af
985,10/21/2023,173612,2475
986,10/22/2023,165951,24b2
987,10/25/2023,165912,24a1
988,10/25/2023,173605,248b
989,10/27/2023,165727,24c0
990,11/2/2023,170037,24d0
991,11/4/2023,165738,24c7
992,11/4/2023,165852,242e
993,11/6/2023,170043,24ce
994,11/7/2023,165749,24d0
995,11/9/2023,165553,24c7
996,11/10/2023,173802,2484
997,11/11/2023,165813,24ab
998,11/12/2023,174133,2478
999,11/13/2023,165909,24b0
1000,11/14/2023,165506,2455
1001,11/17/2023,174013,247b
1002,11/18/2023,165934,2430
1003,11/21/2023,174140,2446
1004,11/22/2023,174110,2479
1005,11/27/2023,174232,2446
1006,11/28/2023,170009,242e
1007,12/2/2023,180201,2414
1008,12/5/2023,180148,240c
1009,12/6/2023,170115,24b9
1010,12/7/2023,175759,24fb
1011,12/11/2023,165809,24c4
1012,12/15/2023,170015,24c1
1013,12/16/2023,173836,247f
1014,12/17/2023,173716,2461
1015,12/22/2023,170235,24ca
1016,12/25/2023,165829,24b0
1017,12/28/2023,174237,249c
1018,12/30/2023,170227,24ba
1019,1/3/2024,170358,242d
1020,1/5/2024,174455,2484
1021,1/6/2024,170144,24b2
1022,1/6/2024,174035,241c
1023,1/10/2024,170139,24c0
1024,1/12/2024,170013,242b
1025,1/22/2024,165846,242e
1026,1/23/2024,170049,24b4
1027,1/24/2024,170108,24b2
1028,1/25/2024,170453,2421
1029,1/27/2024,174255,248b
1030,1/28/2024,174730,247b
1031,1/30/2024,165705,24b9
1032,2/1/2024,165913,24ca
1033,2/13/2024,170136,2460
1034,2/19/2024,174618,2479
1035,2/20/2024,165939,24c4
1036,2/21/2024,170608,2465
1037,2/23/2024,174812,247d
1038,2/24/2024,170706,242d
1039,2/25/2024,174858,248c
1040,2/28/2024,174757,2477
1041,3/2/2024,170202,24c8
1042,3/3/2024,174958,2473
1043,3/4/2024,170343,2455
1044,3/5/2024,174938,2488
1045,3/6/2024,170312,24c8
1046,3/9/2024,174739,2483
1047,3/10/2024,170246,24d0
1048,3/19/2024,175522,24b7
1049,3/20/2024,170941,2439
1050,3/21/2024,175757,24f3
1051,3/22/2024,170302,24c8
1052,3/22/2024,175454,2.40E+06
1053,3/23/2024,175644,24ed
1054,3/27/2024,175615,24d7
1055,3/29/2024,170239,24b3
1056,3/29/2024,175715,24ed
1057,3/30/2024,175244,24aa
1058,4/2/2024,175724,24f3
1059,4/3/2024,174418,227a
1060,4/4/2024,170338,2455
1061,4/7/2024,175208,2461
1062,4/8/2024,175602,24f3
1063,4/9/2024,175501,2.40E+06
1064,4/9/2024,175801,2.40E+02
1065,4/11/2024,175421,24f5
1066,4/12/2024,175409,24d5
1067,4/14/2024,170343,24b3
1068,4/15/2024,175502,24dd
1069,4/15/2024,175605,2.40E+02
1070,4/21/2024,175256,2.40E+02
1071,4/24/2024,170335,24ce
1072,4/25/2024,175808,247b
1073,4/26/2024,170118,24ba
1074,4/28/2024,175416,2486
1075,5/1/2024,171500,2439
1076,5/2/2024,174628,2424
1077,5/3/2024,175724,24aa
1078,5/4/2024,175507,24b7
1079,5/8/2024,175710,2473
1080,5/16/2024,175730,2484
1081,5/17/2024,175853,2473
1082,5/17/2024,180018,247f
1083,5/20/2024,175727,24d6
1084,5/22/2024,174822,2424
1085,5/22/2024,175449,24a4
1086,5/23/2024,170226,24b5
1087,5/24/2024,180139,2438
1088,5/26/2024,175538,24c6
1089,5/27/2024,175344,24fc
1090,5/28/2024,180042,2473
1091,5/30/2024,175651,24aa
1092,6/1/2024,171723,2440
1093,6/2/2024,175605,24a4
1094,6/5/2024,175725,2486
1095,6/5/2024,175733,2.40E+07
1096,6/6/2024,175505,24cd
1097,6/9/2024,175449,24bd
1098,6/11/2024,180154,2483
1099,6/12/2024,171146,2415
1100,6/13/2024,175840,24f9
1101,6/15/2024,171813,2439
1102,6/16/2024,175402,2.40E+07
1103,6/17/2024,170404,24b3
1104,6/20/2024,175659,24d2
1105,6/22/2024,175339,24f1
1106,6/23/2024,180239,249c
1107,6/25/2024,175339,24bd
1108,6/26/2024,180201,2477
1109,6/28/2024,171418,2447
1110,7/3/2024,170742,24b4
1111,7/5/2024,175704,24dd
1112,7/6/2024,175433,24ed
1113,7/6/2024,180321,2484
1114,7/8/2024,180347,24a4
1115,7/9/2024,175536,24f9
1116,7/9/2024,180457,2498
1117,7/10/2024,175852,24dd
1118,7/10/2024,180621,2484
1119,7/11/2024,180743,2498
1120,7/12/2024,175430,2.40E+06
1121,7/13/2024,170806,24b0
1122,7/14/2024,175533,2.40E+09
1123,7/15/2024,175710,24d7
1124,7/16/2024,180744,2446
1125,7/17/2024,171045,24af
1126,7/18/2024,180834,2484
1127,7/20/2024,181017,247b
1128,7/22/2024,170913,24b3
1129,7/23/2024,170831,2417
1130,7/24/2024,175728,24f9
1131,7/25/2024,171815,2460
1132,7/27/2024,180821,247c
1133,7/28/2024,170803,24d0
1134,7/29/2024,175740,2.40E+09
1135,7/30/2024,170935,24b0
1136,7/30/2024,180909,248c
1137,8/1/2024,175601,24ee
1138,8/1/2024,175623,24cd
1139,8/4/2024,181150,247b
1140,8/5/2024,175347,24d2
1141,8/6/2024,175418,24cd
1142,8/10/2024,175519,24ed
1143,8/12/2024,175414,2.40E+07
1144,8/14/2024,175748,24f4
