"species","phenology","n_predictors","max_concurvity","worst_pair","flag","r2","deviance_expl"
"Siberian Elm","Senescence_doy",4,0.879,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.524,0.527
"Silver Maple","Senescence_doy",4,0.88,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.393,0.395
"Tree of heaven","Senescence_doy",4,0.877,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.475,0.483
"Western Catalpa","Senescence_doy",4,0.878,"s(early_fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.511,0.527
"American Elm","Dormancy_doy",4,0.817,"s(fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.416,0.419
"American Linden","Dormancy_doy",4,0.809,"s(fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.475,0.489
"Common Hackberry","Dormancy_doy",4,0.825,"s(fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.391,0.397
"Eastern Cottonwood","Dormancy_doy",4,0.822,"s(fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.25,0.256
"Green Ash","Dormancy_doy",4,0.819,"s(fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.368,0.371
"Honey Locust","Dormancy_doy",4,0.814,"s(fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.322,0.326
"Northern Red Oak","Dormancy_doy",4,0.814,"s(fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.291,0.306
"Plains Cottonwood","Dormancy_doy",4,0.817,"s(fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.288,0.294
"Siberian Elm","Dormancy_doy",4,0.813,"s(fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.44,0.443
"Silver Maple","Dormancy_doy",4,0.819,"s(fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.265,0.266
"Tree of heaven","Dormancy_doy",4,0.809,"s(fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.405,0.418
"Western Catalpa","Dormancy_doy",4,0.816,"s(fall_mean_tmax) <-> s(irrigated_90m)","HIGH",0.458,0.472
"American Elm","growing_season",4,0.747,"s(late_summer_prcp) <-> s(impervious_90m)","MODERATE",0.442,0.445
"American Linden","growing_season",4,0.528,"s(impervious_90m) <-> s(late_summer_prcp)","OK",0.56,0.572
"Common Hackberry","growing_season",4,0.253,"s(late_summer_prcp) <-> s(impervious_90m)","OK",0.347,0.353
"Eastern Cottonwood","growing_season",4,0.512,"s(late_summer_prcp) <-> s(impervious_90m)","OK",0.264,0.269
"Green Ash","growing_season",4,0.609,"s(late_summer_prcp) <-> s(impervious_90m)","MODERATE",0.404,0.407
"Honey Locust","growing_season",4,0.605,"s(late_summer_prcp) <-> s(impervious_90m)","MODERATE",0.333,0.337
"Northern Red Oak","growing_season",4,0.525,"s(impervious_90m) <-> s(late_summer_prcp)","OK",0.355,0.367
"Plains Cottonwood","growing_season",4,0.338,"s(impervious_90m) <-> s(late_summer_prcp)","OK",0.31,0.314
"Siberian Elm","growing_season",4,0.244,"s(impervious_90m) <-> s(late_summer_prcp)","OK",0.38,0.385
"Silver Maple","growing_season",4,0.405,"s(late_summer_prcp) <-> s(impervious_90m)","OK",0.253,0.255
"Tree of heaven","growing_season",4,0.648,"s(impervious_90m) <-> s(late_summer_prcp)","MODERATE",0.389,0.405
"Western Catalpa","growing_season",4,0.781,"s(late_summer_prcp) <-> s(impervious_90m)","MODERATE",0.484,0.498
