phenology,species,Total_Obs,Mean_R2,Mean_RMSE,Mean_MAE
Greenup_doy,American Elm,1,0.40266173844164427,7.54492265825451,5.87869055142864
Greenup_doy,American Linden,1,0.4442590718143904,7.0072163175465025,5.384165316861593
Greenup_doy,Augustine Elm,1,0.4970904826725999,9.635661854966585,7.610028726083262
Greenup_doy,Common Hackberry,1,0.38968527619244914,7.2925257656032825,5.509504664266028
Greenup_doy,Eastern Cottonwood,1,0.38199186229708837,6.060019870881372,4.763613117757206
Greenup_doy,Green Ash,1,0.4692635354913857,7.610120616126535,5.961453494125023
Greenup_doy,Honey Locust,1,0.4128351674909362,7.045355189135294,5.44198852111948
Greenup_doy,Littleleaf Linden,1,0.42233627843767363,6.751026840977928,5.122800143929415
Greenup_doy,Northern Red Oak,1,0.43737332464295997,7.223920537375807,5.496069321439839
Greenup_doy,Plains Cottonwood,1,0.4245342429108207,7.794149483214585,6.0105445923738134
Greenup_doy,Siberian Elm,1,0.2275633408900304,6.21403792181105,4.866678927209962
Greenup_doy,Silver Maple,1,0.18101682997257587,6.447925018025571,5.0812646408453155
Greenup_doy,Tree of heaven,1,0.37115936688983386,7.866353918361676,6.107338497035784
Greenup_doy,Western Catalpa,1,0.4194967558650097,7.38126999619898,5.779315532337536
Maturity_doy,American Elm,1,0.28411703483448825,5.750321615896764,4.441417570172746
Maturity_doy,American Linden,1,0.27059293364079573,5.724917168526909,4.495381659028927
Maturity_doy,Augustine Elm,1,0.3225625970124486,6.132280896635083,4.926769680447048
Maturity_doy,Common Hackberry,1,0.41706325630020236,5.581231641983419,4.261254386638443
Maturity_doy,Eastern Cottonwood,1,0.5376058409897241,4.570064842088506,3.5597057150683744
Maturity_doy,Green Ash,1,0.27621041441748234,5.532863008272852,4.268863941389809
Maturity_doy,Honey Locust,1,0.2795476396910231,6.101883588818075,4.677130540456452
Maturity_doy,Littleleaf Linden,1,0.3035493694929467,5.67407439892371,4.38826270879701
Maturity_doy,Northern Red Oak,1,0.29942595318843224,5.5828609744081215,4.2055678514856645
Maturity_doy,Plains Cottonwood,1,0.37281432209581084,5.440730121417371,4.118752063619224
Maturity_doy,Siberian Elm,1,0.2521368987658176,6.6096743454972895,5.117420005686074
Maturity_doy,Silver Maple,1,0.3065144429365536,5.546856821071345,4.275982601859049
Maturity_doy,Tree of heaven,1,0.3700919495897669,5.308607665783335,4.0193210868630205
Maturity_doy,Western Catalpa,1,0.20212810056224575,7.334715563531566,5.770135636763137
Senescence_doy,American Elm,1,0.16140041632666077,6.8778741994516785,5.420048856143147
Senescence_doy,American Linden,1,0.11101113314701874,7.438340445469768,5.661011039298829
Senescence_doy,Augustine Elm,1,0.38704156292056113,7.204018584582435,5.70183911735629
Senescence_doy,Common Hackberry,1,0.20061230885603668,8.227041828077583,6.502353110256545
Senescence_doy,Eastern Cottonwood,1,0.3390528340960998,6.505423627721962,5.15169493239541
Senescence_doy,Green Ash,1,0.1781123366679862,6.829387766623557,5.487131303664054
Senescence_doy,Honey Locust,1,0.16472403000180053,8.317560273629903,6.6476305536547615
Senescence_doy,Littleleaf Linden,1,0.213271921470809,7.466821069808348,5.965506726641986
Senescence_doy,Northern Red Oak,1,0.30226091931302446,7.006602120173333,5.600149757222155
Senescence_doy,Plains Cottonwood,1,0.37467537924480687,7.1728876592402235,5.662371498965035
Senescence_doy,Siberian Elm,1,0.16606166947845696,8.122471941957764,6.35966355636444
Senescence_doy,Silver Maple,1,0.0948453185294352,8.334261968279938,6.554253621328573
Senescence_doy,Tree of heaven,1,0.33008011998248693,6.165117894393356,4.899656936446124
Senescence_doy,Western Catalpa,1,0.21826718753390015,7.704652242190935,6.066976350726503
Dormancy_doy,American Elm,1,0.21525589049403418,10.00672666711178,7.7323164701252525
Dormancy_doy,American Linden,1,0.21068696867096828,10.496012104221332,8.20055165509687
Dormancy_doy,Augustine Elm,1,0.1283776942439998,10.111556660895694,7.562330646279418
Dormancy_doy,Common Hackberry,1,0.2617236640155132,8.332676515044687,6.419129529092124
Dormancy_doy,Eastern Cottonwood,1,0.3816244547705433,7.869955385672285,5.97567043031821
Dormancy_doy,Green Ash,1,0.20105635508151976,9.080636434850453,6.784782681608753
Dormancy_doy,Honey Locust,1,0.17765515618324218,10.2486026620465,7.95060821505042
Dormancy_doy,Littleleaf Linden,1,0.18096136427456685,10.20256906407849,7.968682364530343
Dormancy_doy,Northern Red Oak,1,0.290025364137025,9.232335634117174,6.739566757673327
Dormancy_doy,Plains Cottonwood,1,0.3846339986859344,9.31748350694688,6.8637340469067
Dormancy_doy,Siberian Elm,1,0.24580659065713747,7.9472706051592255,6.071629223927385
Dormancy_doy,Silver Maple,1,0.22906966592269148,9.406409541115536,7.327206193133342
Dormancy_doy,Tree of heaven,1,0.30151295017363766,7.481704339447265,5.643600616337793
Dormancy_doy,Western Catalpa,1,0.20452624520468293,8.016310069085275,6.110956619725083
