species,phenology,irrigated_90m,late_winter_temp,impervious_90m,late_winter_prcp_days,late_winter_mean_tmax,late_winter_prcp,tree_canopy_90m,unirrigated_90m,water_90m,late_spring_prcp_days,spring_prcp,late_spring_temp,late_spring_mean_tmax,early_fall_mean_tmax,late_summer_prcp_days,late_summer_mean_tmax,late_summer_temp,late_summer_prcp,early_fall_temp,fall_cumulative_prcp,late_fall_temp,fall_prcp_days,fall_mean_tmax
American Linden,Senescence_doy,0.226,NA,0.229,NA,NA,NA,0.164,0.213,0.014,NA,NA,NA,NA,0.078,0.023,0.007,0.008,0.026,0.012,NA,NA,NA,NA
Common Hackberry,Senescence_doy,0.201,NA,0.198,NA,NA,NA,0.225,0.227,0.01,NA,NA,NA,NA,0.06,0.015,0.007,0.002,0.045,0.01,NA,NA,NA,NA
Eastern Cottonwood,Senescence_doy,0.158,NA,0.292,NA,NA,NA,0.151,0.118,0.029,NA,NA,NA,NA,0.022,0.035,0.082,0.033,0.062,0.016,NA,NA,NA,NA
Green Ash,Senescence_doy,0.165,NA,0.172,NA,NA,NA,0.16,0.135,0.025,NA,NA,NA,NA,0.134,0.114,0.034,0.017,0.027,0.016,NA,NA,NA,NA
Honey Locust,Senescence_doy,0.15,NA,0.127,NA,NA,NA,0.197,0.184,0.012,NA,NA,NA,NA,0.142,0.031,0.028,0.008,0.095,0.026,NA,NA,NA,NA
Littleleaf Linden,Senescence_doy,0.189,NA,0.236,NA,NA,NA,0.179,0.216,0.007,NA,NA,NA,NA,0.096,0.03,0.004,0.01,0.017,0.017,NA,NA,NA,NA
Northern Red Oak,Senescence_doy,0.13,NA,0.214,NA,NA,NA,0.197,0.126,0.045,NA,NA,NA,NA,0.1,0.057,0.015,0.007,0.076,0.034,NA,NA,NA,NA
Plains Cottonwood,Senescence_doy,0.121,NA,0.2,NA,NA,NA,0.191,0.173,0.091,NA,NA,NA,NA,0.016,0.062,0.057,0.015,0.055,0.019,NA,NA,NA,NA
Siberian Elm,Senescence_doy,0.154,NA,0.128,NA,NA,NA,0.303,0.14,0.033,NA,NA,NA,NA,0.097,0.039,0.012,0.004,0.074,0.015,NA,NA,NA,NA
Silver Maple,Senescence_doy,0.142,NA,0.138,NA,NA,NA,0.259,0.095,0.013,NA,NA,NA,NA,0.105,0.106,0.008,0.026,0.094,0.014,NA,NA,NA,NA
Tree of heaven,Senescence_doy,0.12,NA,0.16,NA,NA,NA,0.182,0.13,0.008,NA,NA,NA,NA,0.255,0.045,0.048,0.019,0.019,0.014,NA,NA,NA,NA
Western Catalpa,Senescence_doy,0.157,NA,0.181,NA,NA,NA,0.28,0.203,0.009,NA,NA,NA,NA,0.053,0.052,0.021,0.017,0.021,0.008,NA,NA,NA,NA
American Elm,Dormancy_doy,0.112,NA,0.129,NA,NA,NA,0.158,0.088,0.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.237,0.131,0.093,0.03
